AffiliationId,Rank,NormalizedName,DisplayName,GridId,OfficialPage,WikiPage,PaperCount,PaperFamilyCount,CitationCount,Iso3166Code,Latitude,Longitude,CreatedDate
50614327,11845,amec foster wheeler,Amec Foster Wheeler,grid.436455.5,http://www.amecfw.com/,http://en.wikipedia.org/wiki/Amec_Foster_Wheeler,1059,1047,12286,US,41.880707,-87.67417,2016-06-24
80046288,10045,walden university,Walden University,grid.412868.1,http://www.waldenu.edu/,http://en.wikipedia.org/wiki/Walden_University,3760,3750,27699,US,44.981327,-93.26623,2016-06-24
94975175,11858,des moines university,Des Moines University,grid.255049.f,http://www.dmu.edu/,http://en.wikipedia.org/wiki/Des_Moines_University,893,887,15794,US,41.584,-93.662,2016-06-24
158506100,17645,pennsylvania board of probation and parole,Pennsylvania Board of Probation and Parole,null,http://www.pbpp.state.pa.us/,http://en.wikipedia.org/wiki/Pennsylvania_Board_of_Probation_and_Parole,3,3,71,US,40.25986,-76.88223,2016-06-24
192633058,12705,university of saint joseph,University of Saint Joseph,grid.419417.e,http://www.usj.edu/,http://en.wikipedia.org/wiki/University_of_Saint_Joseph_(Connecticut),664,659,3257,US,41.7796,-72.7305,2016-06-24
865679216,16779,colorado heights university,Colorado Heights University,grid.446956.c,http://www.chu.edu/,http://en.wikipedia.org/wiki/Colorado_Heights_University,11,11,41,US,39.66151,-105.02767,2016-06-24
874112308,16773,southern technical college,Southern Technical College,grid.454737.6,http://www.SouthernTech.edu,http://en.wikipedia.org/wiki/Southern_Technical_College,11,11,58,US,28.448515,-81.39968,2016-06-24
880992783,13766,combimatrix,CombiMatrix,grid.428115.b,http://www.combimatrix.com/,http://en.wikipedia.org/wiki/CombiMatrix,75,75,2992,US,47.897892,-122.320366,2016-06-24
926333354,11613,tetra tech,Tetra Tech,null,http://www.tetratech.com/,http://en.wikipedia.org/wiki/Tetra_Tech,859,854,19588,US,34.150036,-118.07806,2016-06-24
1283052075,13138,american legacy foundation,American Legacy Foundation,grid.417962.f,http://www.truthinitiative.org/,http://en.wikipedia.org/wiki/Truth_Initiative,140,139,4857,US,38.90883,-77.03945,2016-06-24
1290221998,16725,detroit institute of arts,Detroit Institute of Arts,grid.446693.a,http://www.dia.org/,http://en.wikipedia.org/wiki/Detroit_Institute_of_Arts,12,12,47,US,42.35929,-83.06448,2016-06-24
1292894508,8279,roswell park cancer institute,Roswell Park Cancer Institute,grid.240614.5,http://www.roswellpark.org/,http://en.wikipedia.org/wiki/Roswell_Park_Cancer_Institute,13897,13785,570445,US,42.89869,-78.86498,2016-06-24
1312008915,11480,kuakini medical center,Kuakini Medical Center,grid.415514.0,http://www.kuakini.org/wps/portal/,http://en.wikipedia.org/wiki/Kuakini_Medical_Center,367,365,20076,US,21.321943,-157.85695,2016-06-24
1316064682,11378,linkedin,LinkedIn,null,null,http://en.wikipedia.org/wiki/LinkedIn,1763,1697,17748,US,37.423313,-122.070694,2016-06-24
1317197149,14155,aids project los angeles,AIDS Project Los Angeles,grid.422205.3,http://www.aplahealth.org/,http://en.wikipedia.org/wiki/APLA_Health,80,80,1502,US,34.091293,-117.95116,2016-06-24
1322780083,11759,minnesota department of natural resources,Minnesota Department of Natural Resources,grid.448381.2,http://dnr.state.mn.us/,http://en.wikipedia.org/wiki/Minnesota_Department_of_Natural_Resources,768,763,16256,US,44.5722,-93.0502,2016-06-24
1324570277,16202,museum of the city of new york,Museum of the City of New York,grid.447107.1,http://www.mcny.org/,http://en.wikipedia.org/wiki/Museum_of_the_City_of_New_York,19,19,33,US,40.792507,-73.95194,2016-06-24
1336114048,15207,american wind energy association,American Wind Energy Association,null,http://www.awea.org/,http://en.wikipedia.org/wiki/American_Wind_Energy_Association,15,15,357,US,38.90592,-77.03498,2016-06-24
1338359566,17851,thd electronics,THD Electronics,null,http://www.thdelectronics.com/,http://en.wikipedia.org/wiki/THD_Electronics,2,2,41,US,47.60357,-122.32945,2016-06-24
2799483119,14847,society for public health education,Society for Public Health Education,grid.422323.6,null,https://en.wikipedia.org/wiki/Society_for_Public_Health_Education,55,54,443,US,38.899147,-77.00818,2018-05-17
2799823163,17490,art institute of fort lauderdale,Art Institute of Fort Lauderdale,grid.454579.e,null,https://en.wikipedia.org/wiki/The_Art_Institute_of_Fort_Lauderdale,6,6,20,US,26.1,-80.122,2018-05-17
2800096636,17737,riverview psychiatric center,Riverview Psychiatric Center,grid.414072.4,null,https://en.wikipedia.org/wiki/Riverview_Psychiatric_Center,2,2,58,US,44.3,-69.77,2018-05-17
2800218097,15759,pikeville medical center,Pikeville Medical Center,grid.492455.b,null,https://en.wikipedia.org/wiki/Pikeville_Medical_Center,31,31,119,US,37.469822,-82.52154,2018-05-17
2800415932,17483,pueblo community college,Pueblo Community College,grid.462695.a,null,https://en.wikipedia.org/wiki/Pueblo_Community_College,6,6,7,US,38.26248,-104.63765,2018-05-17
2800786371,14457,barlow respiratory hospital,Barlow Respiratory Hospital,grid.461397.e,null,https://en.wikipedia.org/wiki/Barlow_Respiratory_Hospital,25,25,1288,US,34.076,-118.248,2018-05-17
2800902709,17625,randolph community college,Randolph Community College,grid.462717.1,null,https://en.wikipedia.org/wiki/Randolph_Community_College,5,5,15,US,35.6727,-79.8285,2018-05-17
2800941160,17585,providence newberg medical center,Providence Newberg Medical Center,grid.462688.6,null,https://en.wikipedia.org/wiki/Providence_Newberg_Medical_Center,4,4,41,US,45.3082,-122.936,2018-05-17
2801578167,16116,genetics society of america,Genetics Society of America,grid.421755.0,null,https://en.wikipedia.org/wiki/Genetics_Society_of_America,19,19,75,US,39.01391,-77.10001,2018-05-17
2801729525,14637,rex hospital,Rex Hospital,grid.415902.b,null,https://en.wikipedia.org/wiki/Rex_Hospital,66,65,502,US,35.8175,-78.703,2018-05-17
2802078327,15055,joint typhoon warning center,Joint Typhoon Warning Center,grid.462419.c,null,https://en.wikipedia.org/wiki/Joint_Typhoon_Warning_Center,28,28,498,US,21.362743,-157.93114,2018-05-17
2802706549,14828,consortium of universities for global health,Consortium of Universities for Global Health,grid.475049.b,null,https://en.wikipedia.org/wiki/Consortium_of_Universities_for_Global_Health,25,25,969,US,38.90679,-77.03732,2018-05-17
2802957943,17985,georgia department of labor,Georgia Department of Labor,grid.454475.3,null,https://en.wikipedia.org/wiki/Georgia_Department_of_Labor,2,2,35,US,34.23633,-83.85727,2018-05-17
2802968421,15122,ashland community hospital,Ashland Community Hospital,grid.461376.1,null,https://en.wikipedia.org/wiki/Ashland_Community_Hospital_(Oregon),8,8,594,US,42.206276,-122.72495,2018-05-17
2802998804,16734,los angeles community college district,Los Angeles Community College District,grid.421004.3,null,https://en.wikipedia.org/wiki/Los_Angeles_Community_College_District,11,11,72,US,34.048775,-118.258064,2018-05-17
2803016318,15846,gilda s club,Gilda's Club,grid.477198.4,null,https://en.wikipedia.org/wiki/Gilda's_Club,18,18,214,US,40.72835,-74.00397,2018-05-17
2803026726,12805,university of utah hospital,University of Utah Hospital,grid.417538.c,null,https://en.wikipedia.org/wiki/University_of_Utah_Hospital,281,280,3659,US,40.77167,-111.83667,2018-05-17
2803059467,14445,memphis zoo,Memphis Zoo,grid.487973.6,null,https://en.wikipedia.org/wiki/Memphis_Zoo,84,82,950,US,35.149982,-89.99435,2018-05-17
38257878,13530,energy biosciences institute,Energy Biosciences Institute,grid.468452.9,http://www.energybiosciencesinstitute.org/,http://en.wikipedia.org/wiki/Energy_Biosciences_Institute,162,156,3107,US,37.87385,-122.26691,2016-06-24
40695006,13825,open geospatial consortium,Open Geospatial Consortium,grid.427060.7,http://www.opengeospatial.org/,http://en.wikipedia.org/wiki/Open_Geospatial_Consortium,56,56,2129,US,42.31745,-71.36279,2016-06-24
56691919,14634,christian theological seminary,Christian Theological Seminary,grid.431592.8,http://www.cts.edu/,http://en.wikipedia.org/wiki/Christian_Theological_Seminary,115,115,108,US,39.8329,-86.1783,2016-06-24
58064216,13139,bellevue university,Bellevue University,grid.441585.9,http://www.bellevue.edu/,http://en.wikipedia.org/wiki/Bellevue_University,192,191,6156,US,41.15056,-95.91917,2016-06-24
60205797,10068,abilene christian university,Abilene Christian University,grid.251705.4,http://www.acu.edu/,http://en.wikipedia.org/wiki/Abilene_Christian_University,1213,1195,45018,US,32.46944,-99.70806,2016-06-24
75380228,11003,mckinsey company,McKinsey & Company,null,http://www.mckinsey.com/,http://en.wikipedia.org/wiki/McKinsey_&_Company,1157,1123,38551,US,40.714054,-74.003914,2016-06-24
82215649,13650,federal railroad administration,Federal Railroad Administration,null,http://www.fra.dot.gov/,http://en.wikipedia.org/wiki/Federal_Railroad_Administration,248,244,986,US,38.89673,-77.02758,2016-06-24
100633361,10004,university of massachusetts dartmouth,University of Massachusetts Dartmouth,grid.266686.a,http://www.umassd.edu/,http://en.wikipedia.org/wiki/University_of_Massachusetts_Dartmouth,5402,5250,102577,US,41.628662,-71.00603,2016-06-24
119906906,15043,national war college,National War College,null,http://nwc.ndu.edu/,http://en.wikipedia.org/wiki/National_War_College,67,67,284,US,38.86333,-77.01694,2016-06-24
119913878,15302,mount ida college,Mount Ida College,grid.447047.4,http://www.mountida.edu/,http://en.wikipedia.org/wiki/Mount_Ida_College,44,42,274,US,42.29417,-71.19333,2016-06-24
132468318,13078,watkins johnson company,Watkins-Johnson Company,null,http://watkins-johnson.terryo.org/,http://en.wikipedia.org/wiki/Watkins-Johnson_Company,164,161,2716,US,37.40804,-122.14331,2016-06-24
142393192,10977,college of staten island,College of Staten Island,grid.254498.6,http://www.csi.cuny.edu/,http://en.wikipedia.org/wiki/College_of_Staten_Island,1978,1896,31233,US,40.6,-74.15,2016-06-24
214516754,13932,pioneer natural resources,Pioneer Natural Resources,null,http://www.pxd.com/,http://en.wikipedia.org/wiki/Pioneer_Natural_Resources,178,177,854,US,32.812126,-96.92565,2016-06-24
865455464,17498,better government association,Better Government Association,null,http://www.bettergov.org/,http://en.wikipedia.org/wiki/Better_Government_Association,4,4,38,US,41.88425,-87.63245,2016-06-24
871786723,16963,mbia,MBIA,null,http://www.mbia.com/,http://en.wikipedia.org/wiki/MBIA,9,9,21,US,41.09148,-73.72394,2016-06-24
921011042,14642,amateur athletic union,Amateur Athletic Union,null,http://aausports.org/,http://en.wikipedia.org/wiki/Amateur_Athletic_Union,84,84,728,US,36.56329,-82.598274,2016-06-24
922088553,12436,mendel biotechnology inc,"Mendel Biotechnology, Inc.",null,https://web.archive.org/web/20130105233825/http://www.mendelbio.com/index.php,"http://en.wikipedia.org/wiki/Mendel_Biotechnology,_Inc.",138,138,10962,US,37.62579,-122.12346,2016-06-24
932542399,16029,brain and creativity institute,Brain and Creativity Institute,null,null,http://en.wikipedia.org/wiki/Brain_and_Creativity_Institute,12,12,293,US,41.661224,-91.53592,2016-06-24
1280755829,13030,peace corps,Peace Corps,grid.466986.3,http://www.peacecorps.gov/,http://en.wikipedia.org/wiki/Peace_Corps,262,262,3885,US,38.904106,-77.044464,2016-06-24
1288214837,7384,united states naval research laboratory,United States Naval Research Laboratory,grid.89170.37,http://www.nrl.navy.mil/,http://en.wikipedia.org/wiki/United_States_Naval_Research_Laboratory,43468,41700,1162336,US,38.82389,-77.0225,2016-06-24
1299022934,8794,united states department of health and human services,United States Department of Health and Human Services,grid.27235.31,http://www.hhs.gov/,http://en.wikipedia.org/wiki/United_States_Department_of_Health_and_Human_Services,7132,7055,333408,US,38.88667,-77.01444,2016-06-24
1330347796,12148,united states department of defense,United States Department of Defense,grid.420391.d,http://www.defense.gov/,http://en.wikipedia.org/wiki/United_States_Department_of_Defense,378,373,9146,US,38.87111,-77.05583,2016-06-24
1332948034,13341,cbs laboratories,CBS Laboratories,null,null,http://en.wikipedia.org/wiki/CBS_Laboratories,128,120,986,US,40.7139,-74.00349,2016-06-24
2799360765,9506,thomas jefferson university hospital,Thomas Jefferson University Hospital,grid.412726.4,null,https://en.wikipedia.org/wiki/Thomas_Jefferson_University_Hospital,7757,7707,150817,US,39.94969,-75.15713,2018-05-17
2800116692,15627,mississippi museum of natural science,Mississippi Museum of Natural Science,grid.487674.e,null,https://en.wikipedia.org/wiki/Mississippi_Museum_of_Natural_Science,31,31,222,US,32.3251,-90.1573,2018-05-17
2800638548,12973,kern medical center,Kern Medical Center,grid.415181.8,null,https://en.wikipedia.org/wiki/Kern_Medical_Center,309,305,4299,US,35.38247,-118.96975,2018-05-17
2800663845,10694,bigelow laboratory for ocean sciences,Bigelow Laboratory For Ocean Sciences,grid.296275.d,null,https://en.wikipedia.org/wiki/Bigelow_Laboratory_for_Ocean_Sciences,1242,1217,59352,US,43.859737,-69.58004,2018-05-17
2801123574,18610,art academy of cincinnati,Art Academy of Cincinnati,grid.465617.7,null,https://en.wikipedia.org/wiki/Art_Academy_of_Cincinnati,2,2,3,US,39.1089,-84.5139,2018-05-17
2801155882,15490,bluegrass community and technical college,Bluegrass Community and Technical College,grid.462099.0,null,https://en.wikipedia.org/wiki/Bluegrass_Community_and_Technical_College,41,41,163,US,38.02481,-84.50365,2018-05-17
2801246515,16573,pih health hospital,PIH Health Hospital,grid.461571.0,null,https://en.wikipedia.org/wiki/PIH_Health_Hospital_-_Downey,15,15,23,US,33.9353,-118.1303,2018-05-17
2801551205,15288,the ohio state university at marion,The Ohio State University at Marion,grid.470004.7,null,"https://en.wikipedia.org/wiki/Ohio_State_University,_Marion_Campus",48,48,299,US,40.58153,-83.08921,2018-05-17
2801965753,17054,united states global change research program,United States Global Change Research Program,grid.467137.0,null,https://en.wikipedia.org/wiki/U.S._Global_Change_Research_Program,6,6,57,US,38.898026,-77.04257,2018-05-17
2802135278,13670,desert botanical garden,Desert Botanical Garden,grid.420478.d,null,https://en.wikipedia.org/wiki/Desert_Botanical_Garden,137,134,2412,US,33.46208,-111.94511,2018-05-17
2802206110,15978,jewish museum,Jewish Museum,grid.447145.7,null,https://en.wikipedia.org/wiki/Jewish_Museum_(Manhattan),31,31,20,US,40.785404,-73.957184,2018-05-17
2802249761,19442,catholic distance university,Catholic Distance University,grid.448678.1,null,https://en.wikipedia.org/wiki/Catholic_Distance_University,1,1,0,US,39.2879,-77.860344,2018-05-17
2802853663,14825,odyssey house,Odyssey House,grid.436919.0,null,https://en.wikipedia.org/wiki/Odyssey_House,53,53,795,US,40.800335,-73.93555,2018-05-17
2802987467,11485,harlem hospital center,Harlem Hospital Center,grid.413677.0,null,https://en.wikipedia.org/wiki/Harlem_Hospital_Center,700,698,18803,US,40.81423,-73.940186,2018-05-17
3024757219,18044,chilton medical center,Chilton Medical Center,grid.477101.4,null,https://en.wikipedia.org/wiki/Chilton_Memorial_Hospital,4,4,1,US,40.9588,-74.3102,2020-05-21
746868,16647,alice lloyd college,Alice Lloyd College,grid.446384.9,http://www.alc.edu/,http://en.wikipedia.org/wiki/Alice_Lloyd_College,13,13,67,US,37.33592,-82.8736,2016-06-24
10595761,11022,american college of radiology,American College of Radiology,grid.417949.6,http://www.acr.org/,http://en.wikipedia.org/wiki/American_College_of_Radiology,793,788,31109,US,38.941513,-77.33953,2016-06-24
13399601,14017,andover newton theological school,Andover Newton Theological School,grid.461981.3,http://www.ants.edu/,http://en.wikipedia.org/wiki/Andover_Newton_Theological_School,118,116,725,US,42.326412,-71.19106,2016-06-24
28304128,9798,alcoa,Alcoa,grid.466540.5,http://alcoa.com/,http://en.wikipedia.org/wiki/Alcoa,4729,4704,90830,US,40.448368,-80.00178,2016-06-24
70745867,10661,kla tencor,KLA-Tencor,grid.462481.d,http://www.kla-tencor.com/,http://en.wikipedia.org/wiki/KLA-Tencor,3340,3317,39961,US,37.42084,-121.92597,2016-06-24
89470330,11574,merial,Merial,null,http://www.merial.com/,http://en.wikipedia.org/wiki/Merial,1162,1158,21892,US,33.96451,-84.11953,2016-06-24
99490713,11706,stetson university,Stetson University,grid.469493.5,http://www.stetson.edu/,http://en.wikipedia.org/wiki/Stetson_University,1553,1541,11336,US,29.034971,-81.30264,2016-06-24
126688049,11121,the dartmouth institute for health policy and clinical practice,The Dartmouth Institute for Health Policy and Clinical Practice,grid.414049.c,http://tdi.dartmouth.edu/,http://en.wikipedia.org/wiki/The_Dartmouth_Institute_for_Health_Policy_and_Clinical_Practice,1466,1433,27595,US,43.67745,-72.264915,2016-06-24
152812213,13747,pennsylvania transportation institute,Pennsylvania Transportation Institute,null,http://www.pti.psu.edu/,http://en.wikipedia.org/wiki/Pennsylvania_Transportation_Institute,123,123,2180,US,40.863697,-77.833954,2016-06-24
160986391,14805,los angeles valley college,Los Angeles Valley College,grid.461595.a,http://www.lavc.edu/,http://en.wikipedia.org/wiki/Los_Angeles_Valley_College,73,73,448,US,34.17577,-118.4211,2016-06-24
162999068,13411,touro college of osteopathic medicine,Touro College of Osteopathic Medicine,null,http://tourocom.touro.edu/,http://en.wikipedia.org/wiki/Touro_College_of_Osteopathic_Medicine,304,304,1782,US,40.80942,-73.94965,2016-06-24
166722992,7411,university of massachusetts medical school,University of Massachusetts Medical School,grid.168645.8,http://www.umassmed.edu/,http://en.wikipedia.org/wiki/University_of_Massachusetts_Medical_School,31558,31154,1463437,US,42.276814,-71.76244,2016-06-24
168995470,13932,tellus institute,Tellus Institute,grid.493501.a,null,http://en.wikipedia.org/wiki/Tellus_Institute,76,75,2263,US,42.37566,-71.12081,2016-06-24
174154184,13768,lee university,Lee University,grid.259012.d,http://www.leeuniversity.edu/,http://en.wikipedia.org/wiki/Lee_University,217,215,1341,US,35.16583,-84.87111,2016-06-24
178117548,15861,globalsantafe corporation,GlobalSantaFe Corporation,null,http://www.deepwater.com/,http://en.wikipedia.org/wiki/GlobalSantaFe_Corporation,21,21,170,US,29.779793,-95.62598,2016-06-24
194059303,11006,weyerhaeuser,Weyerhaeuser,grid.439053.8,https://www.weyerhaeuser.com/,http://en.wikipedia.org/wiki/Weyerhaeuser,1539,1536,31220,US,47.299423,-122.29443,2016-06-24
196905989,12301,ramtron international,Ramtron International,null,http://www.ramtron.com/,http://en.wikipedia.org/wiki/Ramtron_International,200,199,4468,US,39.002403,-104.79618,2016-06-24
197639755,14566,st thomas aquinas college,St. Thomas Aquinas College,grid.462851.c,http://www.stac.edu/,http://en.wikipedia.org/wiki/St._Thomas_Aquinas_College,72,72,811,US,41.169323,-74.03919,2016-06-24
205885097,10297,symbol technologies,Symbol Technologies,null,http://www.symbol.com/,http://en.wikipedia.org/wiki/Symbol_Technologies,2512,2512,77164,US,40.81841,-73.06825,2016-06-24
206926436,12476,national league for nursing,National League for Nursing,grid.480980.d,http://nln.org/,http://en.wikipedia.org/wiki/National_League_for_Nursing,142,142,10694,US,38.921703,-77.048904,2016-06-24
224382143,16762,the explorers club,The Explorers Club,grid.479015.e,http://www.explorers.org/,http://en.wikipedia.org/wiki/The_Explorers_Club,14,14,14,US,40.714054,-74.00349,2016-06-24
1280640908,9783,the nature conservancy,The Nature Conservancy,grid.422375.5,http://nature.org/,http://en.wikipedia.org/wiki/The_Nature_Conservancy,3528,3498,136606,US,30.4833,-91.7333,2016-06-24
1301400270,12415,michigan molecular institute,Michigan Molecular Institute,grid.421340.0,http://www.mmi.org/,http://en.wikipedia.org/wiki/Michigan_Molecular_Institute,358,355,9401,US,43.62536,-84.250824,2016-06-24
1314135232,9152,nationwide children s hospital,Nationwide Children's Hospital,grid.240344.5,http://www.nationwidechildrens.org/,http://en.wikipedia.org/wiki/Nationwide_Children's_Hospital,10663,10567,200577,US,39.95242,-82.97943,2016-06-24
1316424625,18305,minaret of freedom institute,Minaret of Freedom Institute,null,http://www.minaret.org/,http://en.wikipedia.org/wiki/Minaret_of_Freedom_Institute,3,3,2,US,38.9838,-77.0931,2016-06-24
1317897188,16005,children s institute inc,Children's Institute Inc.,null,http://www.childrensinstitute.org/,http://en.wikipedia.org/wiki/Children's_Institute_Inc.,20,20,208,US,34.091293,-117.95116,2016-06-24
1322859765,15552,guidewire software,Guidewire Software,null,http://www.guidewire.com/,http://en.wikipedia.org/wiki/Guidewire_Software,40,40,243,US,37.55983,-122.27148,2016-06-24
1336939341,12326,kaiser family foundation,Kaiser Family Foundation,grid.418509.1,http://www.kff.org/,http://en.wikipedia.org/wiki/Kaiser_Family_Foundation,259,258,8179,US,37.423145,-122.20338,2016-06-24
1342842691,16708,sons of the american revolution,Sons of the American Revolution,null,http://sar.org/,http://en.wikipedia.org/wiki/Sons_of_the_American_Revolution,13,13,39,US,38.25489,-85.76666,2016-06-24
2800068374,18240,rocky mountain college of art and design,Rocky Mountain College of Art and Design,grid.465657.3,null,https://en.wikipedia.org/wiki/Rocky_Mountain_College_of_Art_and_Design,4,4,8,US,39.74332,-105.07,2018-05-17
2800447175,16836,arizona historical society,Arizona Historical Society,grid.446413.0,null,https://en.wikipedia.org/wiki/Arizona_Historical_Society,12,12,40,US,32.233013,-110.95738,2018-05-17
2800649613,14592,university of missouri health system,University of Missouri Health System,grid.418801.4,null,https://en.wikipedia.org/wiki/University_of_Missouri_Health_Care,70,70,924,US,38.93857,-92.32776,2018-05-17
2800713431,11962,saint vincent hospital,Saint Vincent Hospital,grid.416570.1,null,https://en.wikipedia.org/wiki/Saint_Vincent_Hospital,784,775,9564,US,42.2645,-71.7968,2018-05-17
2801038763,17846,henry cogswell college,Henry Cogswell College,grid.454602.1,null,https://en.wikipedia.org/wiki/Henry_Cogswell_College,4,4,11,US,47.64333,-122.19889,2018-05-17
2801168572,17672,washington state department of early learning,Washington State Department of Early Learning,grid.479477.e,null,https://en.wikipedia.org/wiki/Washington_State_Department_of_Early_Learning,2,2,72,US,47.03814,-122.8955,2018-05-17
2801260349,17176,gateway community and technical college,Gateway Community and Technical College,grid.462250.7,null,https://en.wikipedia.org/wiki/Gateway_Community_and_Technical_College,8,8,37,US,39.0854,-84.5102,2018-05-17
2801322200,16787,beebe healthcare,Beebe Healthcare,grid.414328.8,null,https://en.wikipedia.org/wiki/Beebe_Healthcare,13,13,19,US,38.7717,-75.1428,2018-05-17
2801418629,17271,new york state office of parks recreation and historic preservation,"New York State Office of Parks, Recreation and Historic Preservation",grid.447319.c,null,"https://en.wikipedia.org/wiki/New_York_State_Office_of_Parks,_Recreation_and_Historic_Preservation",7,7,37,US,42.652367,-73.74859,2018-05-17
2801750073,18714,centenary college of new jersey,Centenary College of New Jersey,grid.454537.4,null,https://en.wikipedia.org/wiki/Centenary_College_of_New_Jersey,2,2,2,US,40.848,-74.834,2018-05-17
2801803865,15528,tanana chiefs conference,Tanana Chiefs Conference,grid.422762.7,null,https://en.wikipedia.org/wiki/Tanana_Chiefs_Conference,19,19,389,US,64.84429,-147.70865,2018-05-17
2801979358,18344,wesley biblical seminary,Wesley Biblical Seminary,grid.463023.0,null,https://en.wikipedia.org/wiki/Wesley_Biblical_Seminary,3,3,0,US,32.35489,-90.15956,2018-05-17
2801983610,17144,digital public library of america,Digital Public Library of America,grid.475167.6,null,https://en.wikipedia.org/wiki/Digital_Public_Library_of_America,9,8,9,US,42.349174,-71.0789,2018-05-17
2802052008,18712,bethany university,Bethany University,grid.470507.1,null,https://en.wikipedia.org/wiki/Bethany_University,2,2,3,US,37.075,-121.994,2018-05-17
2802217488,13330,north carolina department of agriculture and consumer services,North Carolina Department of Agriculture and Consumer Services,grid.422408.8,null,https://en.wikipedia.org/wiki/North_Carolina_Department_of_Agriculture_and_Consumer_Services,178,178,2765,US,35.781475,-78.63934,2018-05-17
2802662215,14684,tinker air force base,Tinker Air Force Base,grid.476836.8,null,https://en.wikipedia.org/wiki/Tinker_Air_Force_Base,52,52,702,US,35.41472,-97.38667,2018-05-17
2802865615,19017,pennsylvania coalition against rape,Pennsylvania Coalition Against Rape,grid.436963.d,null,https://en.wikipedia.org/wiki/Pennsylvania_Coalition_Against_Rape,1,1,15,US,40.290443,-76.93447,2018-05-17
2803051454,18255,jack miller center,Jack Miller Center,grid.479558.2,null,https://en.wikipedia.org/wiki/Jack_Miller_Center,3,3,7,US,40.00883,-75.21951,2018-05-17
2945732944,13749,lyft,Lyft,null,http://www.lyft.com,null,221,212,1096,US,37.801434,-122.39756,2019-05-29
16103854,10966,remote sensing center,Remote Sensing Center,null,http://www.nps.edu/rsc,http://en.wikipedia.org/wiki/Remote_Sensing_Center,1963,1925,31975,US,36.59759,-121.89677,2016-06-24
35637935,14954,tallahassee community college,Tallahassee Community College,grid.419844.4,http://www.tcc.fl.edu/,http://en.wikipedia.org/wiki/Tallahassee_Community_College,60,60,601,US,30.44527,-84.34062,2016-06-24
37415318,10780,bates college,Bates College,grid.252873.9,http://www.bates.edu/,http://en.wikipedia.org/wiki/Bates_College,2279,2212,44007,US,44.10556,-70.20417,2016-06-24
60341648,11717,the evergreen state college,The Evergreen State College,grid.264899.8,http://www.evergreen.edu/,http://en.wikipedia.org/wiki/The_Evergreen_State_College,869,859,18809,US,47.072964,-122.97615,2016-06-24
60922557,13974,upper iowa university,Upper Iowa University,grid.441080.9,http://www.uiu.edu/,http://en.wikipedia.org/wiki/Upper_Iowa_University,107,107,1355,US,42.838,-91.8,2016-06-24
99418890,11569,northwestern polytechnic university,Northwestern Polytechnic University,grid.469127.f,http://www.npu.edu/,http://en.wikipedia.org/wiki/Northwestern_Polytechnic_University,1961,1959,9615,US,37.4778,-121.9259,2016-06-24
109780856,12733,argosy university,Argosy University,grid.472248.f,http://argosy.edu/,http://en.wikipedia.org/wiki/Argosy_University,494,492,6014,US,47.61447,-122.35235,2016-06-24
118073183,10416,meharry medical college,Meharry Medical College,grid.259870.1,http://www.mmc.edu/,http://en.wikipedia.org/wiki/Meharry_Medical_College,3161,3142,62162,US,36.168205,-86.806114,2016-06-24
119234918,10236,university of northern iowa,University of Northern Iowa,grid.266878.5,http://www.uni.edu/,http://en.wikipedia.org/wiki/University_of_Northern_Iowa,4826,4794,78016,US,42.513363,-92.46248,2016-06-24
156802259,9095,eastern virginia medical school,Eastern Virginia Medical School,grid.255414.3,http://www.evms.edu/,http://en.wikipedia.org/wiki/Eastern_Virginia_Medical_School,9214,9113,260865,US,36.860554,-76.30252,2016-06-24
187521650,15113,county college of morris,County College of Morris,grid.421604.5,http://www.ccm.edu/,http://en.wikipedia.org/wiki/County_College_of_Morris,52,51,404,US,40.85833,-74.58056,2016-06-24
884084634,12403,john snow inc,"John Snow, Inc",null,http://www.jsi.com/,"http://en.wikipedia.org/wiki/John_Snow,_Inc",353,352,7408,US,42.35237,-71.04773,2016-06-24
887689190,14397,axioma,Axioma,null,http://www.axioma.com/,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=27481806,45,45,1218,US,40.70289,-74.01415,2016-06-24
1283532917,15608,american refugee committee,American Refugee Committee,null,http://www.arcrelief.org/,http://en.wikipedia.org/wiki/American_Refugee_Committee,20,20,267,US,44.99124,-93.25245,2016-06-24
1302598760,15954,national ffa organization,National FFA Organization,grid.426717.1,https://www.FFA.org/,http://en.wikipedia.org/wiki/National_FFA_Organization,21,21,149,US,39.956104,-86.334045,2016-06-24
1304256225,12053,university of wisconsin system,University of Wisconsin System,grid.28803.31,http://www.wisconsin.edu/,http://en.wikipedia.org/wiki/University_of_Wisconsin_System,608,600,11194,US,43.815517,-91.22852,2016-06-24
1313967475,12055,american academy of arts and sciences,American Academy of Arts and Sciences,grid.299848.6,https://www.amacad.org/,http://en.wikipedia.org/wiki/American_Academy_of_Arts_and_Sciences,535,522,15431,US,42.380756,-71.11025,2016-06-24
1318101084,12360,integris baptist medical center,Integris Baptist Medical Center,grid.414223.2,http://integrisok.com/,http://en.wikipedia.org/wiki/Integris_Health,382,380,9724,US,35.52944,-97.57639,2016-06-24
1321573313,14128,chesapeake regional medical center,Chesapeake Regional Medical Center,null,http://chesapeakeregional.com/,http://en.wikipedia.org/wiki/Chesapeake_Regional_Medical_Center,93,91,1369,US,36.7457,-76.2462,2016-06-24
